time,station,rr,substation
2000-01-01T00:00+00:00,500,732.0,
2000-01-01T00:00+00:00,701,580.0,
2000-01-01T00:00+00:00,726,,
2000-01-01T00:00+00:00,901,495.0,
2000-01-01T00:00+00:00,905,470.0,
2000-01-01T00:00+00:00,910,451.0,
2000-01-01T00:00+00:00,1400,,
2000-01-01T00:00+00:00,1401,,
2000-01-01T00:00+00:00,1415,1096.0,
2000-01-01T00:00+00:00,1416,,
2000-01-01T00:00+00:00,1601,767.0,
2000-01-01T00:00+00:00,1602,,
2000-01-01T00:00+00:00,1711,,
2000-01-01T00:00+00:00,1730,,
2000-01-01T00:00+00:00,1800,654.0,
2000-01-01T00:00+00:00,1802,,
2000-01-01T00:00+00:00,1901,657.0,
2000-01-01T00:00+00:00,1903,,
2000-01-01T00:00+00:00,1906,593.0,
2000-01-01T00:00+00:00,1920,609.0,
2000-01-01T00:00+00:00,2114,,
2000-01-01T00:00+00:00,2115,527.0,
2000-01-01T00:00+00:00,2116,,
2000-01-01T00:00+00:00,2117,,
2000-01-01T00:00+00:00,2201,449.0,
2000-01-01T00:00+00:00,2207,,
2000-01-01T00:00+00:00,2400,456.0,
2000-01-01T00:00+00:00,2401,,
2000-01-01T00:00+00:00,2415,439.0,
2000-01-01T00:00+00:00,2430,,
2000-01-01T00:00+00:00,2503,527.0,
2000-01-01T00:00+00:00,2600,529.0,
2000-01-01T00:00+00:00,2601,,
2000-01-01T00:00+00:00,2602,,
2000-01-01T00:00+00:00,2900,946.0,
2000-01-01T00:00+00:00,2902,,
2000-01-01T00:00+00:00,2910,998.0,
2000-01-01T00:00+00:00,3110,897.0,
2000-01-01T00:00+00:00,3111,,
2000-01-01T00:00+00:00,3202,952.0,
2000-01-01T00:00+00:00,3210,1092.0,
2000-01-01T00:00+00:00,3315,,
2000-01-01T00:00+00:00,3400,889.0,
2000-01-01T00:00+00:00,3410,969.0,
2000-01-01T00:00+00:00,3411,,
2000-01-01T00:00+00:00,3425,,
2000-01-01T00:00+00:00,3501,913.0,
2000-01-01T00:00+00:00,3520,,
2000-01-01T00:00+00:00,3605,844.0,
2000-01-01T00:00+00:00,3700,734.0,
2000-01-01T00:00+00:00,3702,702.0,
2000-01-01T00:00+00:00,3805,569.0,
2000-01-01T00:00+00:00,3811,524.0,
2000-01-01T00:00+00:00,4026,,
2000-01-01T00:00+00:00,4030,440.0,
2000-01-01T00:00+00:00,4080,,
2000-01-01T00:00+00:00,4081,500.0,
2000-01-01T00:00+00:00,4115,,
2000-01-01T00:00+00:00,4125,,
2000-01-01T00:00+00:00,4126,,
2000-01-01T00:00+00:00,4221,,
2000-01-01T00:00+00:00,4223,,
2000-01-01T00:00+00:00,4224,,
2000-01-01T00:00+00:00,4305,502.0,
